"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2020-2021","Charter","Charters","High","3312","Multicultural Academy",,,"282","0","0",,,"0.00%"
"2020-2021","Charter","Charters","High","3313","Preparatory Charter School",,,"630","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3314","West Oak Lane Charter School",,,"1067","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3315","Alliance For Progress Charter",,,"542","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Middle-High","3318","Freire Charter School",,,"1015","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3321","Math, Civics And Sciences",,,"1016","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3322","Philadelphia Academy",,,"1106","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3323","Mastery Charter at Hardy Williams","1071","N","1213","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3326","Universal Institute",,,"641","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3328","Math, Science And Technology",,,"1482","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Middle","3329","Young Scholars Charter School",,,"297","0","0",,,"0.00%"
"2020-2021","Charter","Charters","High","3331","Franklin Towne Charter School",,,"1230","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3332","Bracetti, Mariana Academy",,,"1495","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3333","Esperanza Academy Charter School",,,"1659","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3334","New Foundations Charter School",,,"1506","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3335","People For People",,,"557","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle-High","3336","Phila Performing Arts: A String Theory",,,"2627","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3337","Global Leadership Academy",,,"690","0","0",,,"0.00%"
"2020-2021","Charter","Charters","Elementary-Middle","3341","Independence Charter School",,,"815","0","0",,,"0.00%"
